('Step', 8100, 'Loss', 1.0996405, 'Correct', 49, 'out of', 100)
('Step', 8200, 'Loss', 1.140494, 'Correct', 60, 'out of', 100)
('Step', 8300, 'Loss', 1.1205496, 'Correct', 60, 'out of', 100)
('Step', 8400, 'Loss', 1.0053531, 'Correct', 64, 'out of', 100)
('Step', 8500, 'Loss', 1.0835071, 'Correct', 57, 'out of', 100)
('Step', 8600, 'Loss', 1.020045, 'Correct', 59, 'out of', 100)
('Step', 8700, 'Loss', 0.9340933, 'Correct', 60, 'out of', 100)
('Step', 8800, 'Loss', 1.0081267, 'Correct', 63, 'out of', 100)
('Step', 8900, 'Loss', 1.1125035, 'Correct', 56, 'out of', 100)
('Step', 9000, 'Loss', 1.1346632, 'Correct', 56, 'out of', 100)
('Step', 9100, 'Loss', 1.0088859, 'Correct', 60, 'out of', 100)
('Step', 9200, 'Loss', 1.0863581, 'Correct', 59, 'out of', 100)
('Step', 9300, 'Loss', 0.9972683, 'Correct', 63, 'out of', 100)
('Step', 9400, 'Loss', 1.0368499, 'Correct', 60, 'out of', 100)
('Step', 9500, 'Loss', 0.99281174, 'Correct', 63, 'out of', 100)
('Step', 9600, 'Loss', 0.9980717, 'Correct', 51, 'out of', 100)
('Step', 9700, 'Loss', 1.017362, 'Correct', 61, 'out of', 100)
('Step', 9800, 'Loss', 0.8914572, 'Correct', 70, 'out of', 100)
('Step', 9900, 'Loss', 1.0652571, 'Correct', 55, 'out of', 100)
('Average loss for the last 10 mini-batches is', 1.0792625904083253, 'average correct labels is', 56.5, 'out of 100.')
